Nitrogen,Phosphorous,Potassium,Temparature,Humidity,Ph,Moisture,rainfall,Crop Type
5,28,10,25.9,51.18,4.644819837,36.61,374.5881088,Barley
10,9,0,26.51,60.56,6.509319024,35.77,306.9353923,Barley
10,9,0,33.98,62.99,4.690337256,50.43,354.6397952,Barley
21,16,1,23.6,54.64,5.640304273,32.83,330.0430355,Barley
5,26,10,31,57.54,6.518988779,48.96,309.9383915,Barley
12,39,0,24.04,54.47,7.347072071,46.62,312.3466345,Barley
6,18,19,30.39,54.66,7.025706356,40.53,319.5010567,Barley
16,42,1,38.04,73.24,6.36917912,69.06,394.5837714,Barley
26,15,0,31.33,67.83,5.233955218,68.19,330.9139459,Barley
1,15,15,24.55,59.45,5.520701524,47.37,333.2934958,Barley
3,17,17,31.83,67.7,6.732807621,37.31,309.3684185,Barley
38,0,4,40,67.75,6.748262128,56.43,323.2719614,Barley
8,12,17,30,42.84,7.146859985,46.81,389.1683043,Barley
17,11,4,29.51,57.86,8.35581158,47.6,336.8480631,Barley
25,18,0,29.99,60.85,6.623470568,46.92,324.5330546,Barley
8,19,9,28.66,41.97,6.063394318,62.44,327.737864,Barley
6,31,11,25.96,53.04,7.640367651,46.11,303.8720827,Barley
7,27,3,29.41,52.65,6.679956076,48.35,323.4787034,Barley
19,25,1,29.94,55.21,6.486132351,52.74,363.9375419,Barley
11,6,0,33.99,68.26,5.893927072,39.64,395.2001363,Barley
10,35,0,32.12,70.24,6.027268097,29.28,308.1034354,Barley
16,10,0,32.8,55.77,4.850976638,44.43,340.3870181,Barley
38,0,0,26.05,48.76,6.387413368,45.26,359.9153018,Barley
15,36,0,24.59,47.16,6.516799782,21.81,300.8404787,Barley
7,34,8,28.75,60.69,6.750083363,32.81,386.0281195,Barley
22,21,0,29.68,74.89,6.045194017,47.11,360.0470746,Barley
13,18,19,33.94,62.53,6.86091728,22.09,322.2133395,Barley
17,36,0,29.01,58.45,6.496212233,25.72,322.5461737,Barley
14,13,0,21.59,54.14,6.556042923,68.42,363.1806109,Barley
10,39,2,31.46,60.92,7.18205164,35.26,369.5066513,Barley
37,0,0,24.84,49.58,7.444896125,47.64,338.6285148,Barley
13,10,0,24.24,45.3,5.950056866,68.56,366.9342803,Barley
8,11,0,32.11,71.86,5.716117574,56.34,393.7674509,Barley
10,45,0,33.59,54.6,6.077543158,51.9,324.8320769,Barley
38,1,2,30.24,56.13,7.38863715,30.91,309.9965034,Barley
14,9,0,30.34,64.88,6.216938764,34.89,344.8748533,Barley
14,34,2,25.85,59.28,6.779706945,48.78,343.2247488,Barley
44,4,0,29.61,55.37,6.096758579,42.37,347.3783665,Barley
5,25,7,30.23,55.76,6.140416867,53.54,321.7349648,Barley
12,41,1,39.34,73.55,6.176167076,37.74,363.8165142,Barley
20,27,1,26.41,55.23,7.235696696,43.13,315.7033949,Barley
11,26,6,35.84,73.34,6.776092944,56.27,332.8521921,Barley
40,0,2,32.85,53.21,6.534909995,37.96,302.0826954,Barley
14,15,9,22.54,44.49,6.596010241,64.67,306.2714375,Barley
18,40,0,39.87,60.83,6.792122897,56.01,385.9640153,Barley
40,0,2,31.87,56.38,6.675135355,39.33,387.4083655,Barley
13,6,2,21.34,47.91,6.342014837,23.25,392.5324147,Barley
10,4,4,31.78,51.44,7.461757604,58.82,387.6106291,Barley
25,23,2,33.14,60.57,6.809032652,35.83,365.0521809,Barley
8,15,0,25.66,45.25,5.39579137,65.07,345.2006674,Barley
31,1,1,26.71,59.61,5.117593728,29.75,343.9149316,Barley
14,36,0,31.15,55.59,6.052486391,35.09,308.3318386,Barley
33,0,2,30.59,54.91,4.70437726,43.28,349.1757177,Barley
18,15,1,28.16,58.55,6.857511276,25.26,305.0880424,Barley
11,12,1,23.84,40.88,8.496265343,64.6,302.0058814,Barley
10,18,22,34.25,73.85,6.72101714,41.28,338.209675,Barley
0,30,12,34.58,71.62,6.898811971,47.49,348.9416698,Barley
15,16,18,32.2,67.18,6.771676672,28.11,356.9482653,Barley
45,0,0,27.81,60,4.703490474,25.06,384.7446132,Barley
8,9,0,31.36,56.32,5.298630637,45.45,315.200209,Barley
10,41,1,32.97,57.21,6.866879968,28.8,399.0473608,Barley
22,15,1,26.58,49.05,6.779242974,23.6,327.3297484,Barley
12,40,0,29.36,57.52,6.449447029,28.75,384.4623715,Barley
14,18,2,27.86,58.24,6.85334214,49.66,397.9304857,Barley
8,34,0,27.87,59.72,6.931360188,43.57,379.6538656,Barley
15,31,0,25.5,56.26,6.344161013,56.35,376.4736164,Barley
6,35,11,27.56,69.63,7.491435129,55.59,324.7706522,Barley
7,11,0,28.35,55.27,6.464065439,47.18,386.003334,Barley
18,20,4,36.02,74.78,6.548434843,38.64,303.8005799,Barley
9,38,0,25.75,50.81,6.434087129,43.31,359.5906286,Barley
12,28,8,24.18,49.22,5.731197186,58.28,398.3434835,Barley
12,32,3,32.81,49.4,6.177941713,37.62,371.0398095,Barley
19,20,2,30.99,68.56,6.797114234,42.89,364.2499591,Barley
11,19,6,28.69,65.85,4.510036008,51.02,315.6367676,Barley
13,40,0,30.9,58.59,8.087812086,38.32,369.0151068,Barley
11,9,10,26.75,59.07,5.748202553,20,362.565338,Barley
36,0,0,25.38,57.54,7.500210329,70,385.3708802,Barley
10,32,7,26.38,57.12,5.514791592,57.3,335.3993947,Barley
41,4,3,29.74,67.3,5.707035641,55.7,325.6803116,Barley
1,29,6,34.41,61.06,6.610366504,44.38,379.7259496,Barley
10,13,3,33.41,53.69,5.796954205,63.42,302.1756724,Barley
11,8,1,30.3,69.31,7.194565337,52.01,381.7732171,Barley
9,32,0,33.3,67.48,6.609010347,42.24,398.8637006,Barley
6,8,2,38.45,63.15,5.662123654,58.06,321.663314,Barley
34,0,0,20.56,55.98,7.384801203,65.55,300.4260863,Barley
35,0,2,27.68,46.99,7.120391732,22.43,307.222124,Barley
18,33,2,26.12,62.49,4.877394446,63.64,315.659021,Barley
10,41,0,24.45,57.16,8.154519208,37.8,314.8766983,Barley
12,6,0,32.41,67.07,7.498915812,32.33,328.6714439,Barley
8,39,0,25.86,69.87,6.938373062,40.56,309.6770022,Barley
17,32,0,33.17,68.4,7.475135423,25.54,365.77292,Barley
19,41,2,31.18,55.41,8.318332883,33.33,384.481783,Barley
8,13,20,26.88,60.42,7.563830989,29.07,335.0188549,Barley
24,20,0,22.15,54.75,6.635316682,39.9,383.8835427,Barley
16,13,3,28.32,55.53,6.052715871,39.8,334.3261523,Barley
37,0,0,28.77,63.48,5.59180379,49.52,376.7442094,Barley
38,4,2,30.23,47.44,6.437418665,55.39,313.7023064,Barley
18,21,0,24.39,61.39,5.128613079,39.84,367.4952522,Barley
6,21,18,28.44,52.58,6.587323862,36.69,342.420976,Barley
34,4,2,27.61,61.04,6.41696838,41.97,358.1757211,Barley
36,3,4,37.83,58.79,6.192673391,52.48,307.8686641,Barley
18,22,4,35.56,61.27,6.824993322,33.78,383.9508922,Barley
25,28,0,34.41,62.43,7.325883649,33.3,399.103614,Barley
33,0,2,25.4,50.75,7.491563475,42.4,323.020313,Barley
12,44,0,32.73,62.28,4.643882421,57.46,371.3374633,Barley
3,29,3,31.13,73.3,6.371162479,29.78,328.5288642,Barley
10,33,0,31.49,71.13,6.950494535,61.76,307.1179063,Barley
9,19,17,33.28,76.03,6.523439726,40.66,329.9813175,Barley
22,22,0,36.03,68.01,6.465460943,34.95,323.8329001,Barley
19,40,0,28.88,60.85,6.982254904,28.57,321.8707873,Barley
9,32,0,31.83,61.48,6.036542369,51.62,346.1742502,Barley
9,29,10,39.86,74.47,5.918670488,42.82,350.709892,Barley
13,16,17,24.87,66.48,6.672142472,38.24,321.9743602,Barley
7,15,9,26.02,65.02,6.608688154,48.03,320.9118105,Barley
38,1,0,24.23,60.39,7.405651362,25.34,395.1609079,Barley
15,34,4,29.24,46.88,7.002770529,44.55,317.9918506,Barley
44,2,0,25.65,62.92,5.168489174,28.49,398.5910381,Barley
